deck,name,lat,lng,country,state,wordCount,date,link
"For generations, hunting, and the deep connection to the land it creates, has been a mainstay of Inuit culture. As the coastline changes—reshaping the marine landscape and jeopardizing the hunt—Inuit youth are charting ways to preserve the hunt, and their identity.","With Old Traditions and New Tech, Young Inuit Chart Their Changing Landscape",61.10823,-94.056131,Canada,Nunavut,"5,300 words, about 26 minutes",2022-08-30T00:05:05,https://hakaimagazine.com/features/with-old-traditions-and-new-tech-young-inuit-chart-their-changing-landscape/
An ambitious restoration project in San Francisco’s South Bay is attempting to balance a return to the ecological past with the needs of species that have become reliant on the area’s artificial salt ponds.,Rebirth of San Francisco’s Salt Marshes,37.4608487509611,-122.03602605034622,United States,California,"3,500 words, about 18 minutes",2022-08-16T00:05:14,https://hakaimagazine.com/features/rebirth-of-san-franciscos-salt-marshes/
"In the tradition of wine and ale trails, the state’s oyster trail aims to give the farmed shellfish industry a needed boost.",North Carolina’s Oysters Come Out of Their Shell,34.46243205667129,-77.50345172447548,United States,North Carolina,"1,900 words, about 10 minutes",2022-08-09T00:05:29,https://hakaimagazine.com/features/north-carolinas-oysters-come-out-of-their-shell/
"North Carolina’s Outer Banks area is a famed vacation spot, but its islands are always on the move; as sea levels rise and storms strengthen, engineers are battling to keep island communities from washing away.",Trying to Tame the Islands That Won’t Stay Put,35.600383,-75.4655882,United States,North Carolina,,2022-08-05T00:05:26,https://hakaimagazine.com/features/trying-to-tame-the-islands-that-wont-stay-put/
"In the face of rising sea levels, descendants of some of the original Black inhabitants of Fort Mose, Florida, look to ways to preserve their history … at least in stories.",When Places Dense with Relics and Remembrances Succumb to the Sea,29.929261,-81.3249975,United States,Florida,"2,900 words, about 14 minutes",2022-08-02T00:05:18,https://hakaimagazine.com/features/when-places-dense-with-relics-and-remembrances-succumb-to-the-sea/
"They’ve roamed free for hundreds of years, but is that freedom harming the ecosystem they call home?","Romance, Politics, and Ecological Damage: The Saga of Sable Island’s Wild Horses",43.93372069999999,-59.91491379999999,Canada,Nova Scotia,"3,300 words, about 16 minutes",2022-07-26T00:05:24,https://hakaimagazine.com/features/romance-politics-and-ecological-damage-the-saga-of-sable-islands-wild-horses/
"Quebec’s Magdalen islanders face a stark choice: resist, adapt, or give in to the ravenous sea.","Living in a Doomed Paradise Where the Sea Consumes Cottages, Cliffs, and the A&#038;W Drive-Thru",47.36600327510544,-61.878540903589986,Canada,Quebec,"4,800 words, about 24 minutes",2022-07-19T00:05:46,https://hakaimagazine.com/features/living-in-a-doomed-paradise-where-the-sea-consumes-cottages-cliffs-and-the-aw-drive-thru/
Our long history of constraining the river through levees has led to massive land loss in its delta. Can we engineer our way out? And at what cost?,The Controversial Plan to Unleash the Mississippi,29.594422953508175,-89.80927828274957,United States,Louisiana,"5,300 words, about 26 minutes",2022-07-12T00:05:19,https://hakaimagazine.com/features/the-controversial-plan-to-unleash-the-mississippi/
The nautilus’s lineage made it through all five of Earth’s previous mass extinctions. But can it survive the Anthropocene?,"Ancient Nautilus, Uncertain Future",-2.0941169,146.8760951,Papua New Guinea,Manus Province,"4,100 words, about 20 minutes",2022-07-05T00:05:12,https://hakaimagazine.com/features/ancient-nautilus-uncertain-future/
"From solo sojourns to the seashore to family expeditions out at sea, this season’s selections will inspire you and the little ones in your life to embark on coastal adventures.",Turning the Tide: 13 New Books to Get Kids Reading and Exploring Nature,,,,,,2022-06-30T00:05:41,https://hakaimagazine.com/features/turning-the-tide-13-new-books-to-get-kids-reading-and-exploring-nature/
"Naming leads to knowing, which leads to understanding. Residents of a small British Columbia island take to the forests and beaches to connect with their nonhuman neighbors.",A Community’s Quest to Document Every Species on Their Island Home,48.8822639,-123.351001,Canada,British Columbia,,2022-06-28T00:05:21,https://hakaimagazine.com/features/a-communitys-quest-to-document-every-species-on-their-island-home/
Communities impacted by crude oil spills along Nigeria’s coastline are successfully taking oil companies to task.,A Reckoning for Big Oil in the Niger Delta,4.867776699999999,5.898713900000001,Nigeria,,"2,400 words, about 12 minutes",2022-06-23T00:05:24,https://hakaimagazine.com/features/a-reckoning-for-big-oil-in-the-niger-delta/
A chance encounter with a rare phenomenon called a milky sea connects a sailor and a scientist to explain the ocean’s ghostly glow.,And Then the Sea Glowed a Magnificent Milky Green,16.081727691643856,65.5913386867175,,,"2,100 words, about 11 minutes",2022-06-21T00:05:21,https://hakaimagazine.com/features/and-then-the-sea-glowed-a-magnificent-milky-green/
Keeping people out of rip currents is more about reading human behavior than reading warning signs.,Warning! Signs Are Not Enough to Save Beachgoers from Deadly Currents,,,,,"3,000 words, about 15 minutes",2022-06-14T00:05:28,https://hakaimagazine.com/features/warning-signs-arent-enough-to-save-beachgoers-from-deadly-currents/
"In the US Pacific Northwest, tribal hatcheries uphold Indigenous communities’ treaty rights to salmon, while buying time to rehabilitate lost habitat.",Tribal Hatcheries and the Road to Restoration,,,,,"5,700 words, about 28 minutes",2022-06-03T00:05:53,https://hakaimagazine.com/features/tribal-hatcheries-and-the-road-to-restoration/
"As wildfires, droughts, and floods deal a blow to coastal habitats, wild salmon are disappearing from waterways like California’s Russian River. Can conservation hatcheries save endangered runs?",The Hail Mary Hatcheries,38.72080849185622,-123.00102986543779,United States,California,"5,300 words, about 27 minutes",2022-06-02T00:05:49,https://hakaimagazine.com/features/the-hail-mary-hatcheries/
"Evidence is mounting that pink salmon, pumped by the billions into the North Pacific from fish hatcheries, are upending marine ecosystems.",Too Many Pinks in the Pacific,59.440335,-151.428722,United States,Alaska,"3,800 words, about 19 minutes",2022-06-01T00:05:30,https://hakaimagazine.com/features/too-many-pinks-in-the-pacific/
The golden dream of hatcheries was to make more fish. The reality is much more complicated.,The Paradox of Salmon Hatcheries,,,,,A special series of four stories,2022-05-31T00:05:28,https://hakaimagazine.com/features/the-paradox-of-salmon-hatcheries/
"From their beginnings in the late 19th century, salmon hatcheries have gone from cure to band-aid to crutch. Now, we can’t live without manufactured fish.",The Hatchery Crutch: How We Got Here,,,,,"4,000 words, about 20 minutes",2022-05-31T00:05:25,https://hakaimagazine.com/features/the-hatchery-crutch-how-we-got-here/
"Welcome to Selsey, a community that welcomed back the marsh.",Letting the Sea Have Its Way,50.743856825351855,-0.8025438013877715,United Kingdom,England,"2,900 words, about 14 minutes",2022-05-24T00:05:21,https://hakaimagazine.com/features/letting-the-sea-have-its-way/
"In Iceland, traditionally a land of cat lovers, bans and curfews are redefining the human relationship with domestic cats.",It’s 10 PM. Do You Know Where Your Cat Is?,65.27928971036363,-18.290244179687505,,,"3,900 words, about 19 minutes",2022-05-17T00:05:24,https://hakaimagazine.com/features/its-10-pm-do-you-know-where-your-cat-is/
This motor-free ocean race—with vessels ranging from paddleboards to pedal-assist sailboats—is less about how fast you can go and more about whether you get there at all.,Surviving the Race to Alaska,48.155038753044366,-122.72825031735009,United States,Washington,"3,400 words, about 17 minutes",2022-05-10T00:05:15,https://hakaimagazine.com/features/surviving-the-race-to-alaska/
"A murky world of shell companies, flags of convenience, and end-of-life flags allows companies to dodge accountability and dispose of ships cheaply.",How the Shipping Industry Sails through Legal Loopholes,,,,,"3,500 words, about 18 minutes",2022-05-03T00:05:31,https://hakaimagazine.com/features/how-the-shipping-industry-sails-through-legal-loopholes/
"The first and only queen conch hatchery and nursery run by local fishers is poised for duplication across the Caribbean—but even if conch farming can help ease overfishing, can it survive in warming, storm-lashed seas?",The Queen Conch’s Gambit,18.2116247,-65.7348841,Puerto Rico,Naguabo,"4,200 words, about 21 minutes",2022-04-26T00:05:35,https://hakaimagazine.com/features/the-queen-conchs-gambit/
"We can thank microbes for moving carbon to the depths of the ocean, but will our changing world mess with their good work? And should we intervene?",Viruses Are Not Always the Villain,,,,,"2,400 words, about 12 minutes",2022-04-12T00:05:09,https://hakaimagazine.com/features/viruses-are-not-always-the-villain/
"The Indigenous people of Tierra del Fuego were once relegated to historical oblivion. Now, archaeologists are helping them pursue deeper stories about their ancestors.","Declared Extinct, The Yaghan Rise in the Land of Fire",-54.911183372746464,-67.56773093430813,Chile,Magallanes and Chilean Antarctica,"7,200 words, about 36 minutes",2022-04-05T00:05:44,https://hakaimagazine.com/features/declared-dead-the-yaghan-rise-in-the-land-of-fire/
"Taking inspiration from science fiction, a small company on the Island of Newfoundland aims to revolutionize what we do with garbage.",The Landfill of the Future,51.15615057066613,-55.99542096156944,Canada,Newfoundland and Labrador,"3,300 words, about 17 minutes",2022-03-29T00:05:31,https://hakaimagazine.com/features/the-landfill-of-the-future/
"In 1953, the Canadian government relocated Inuit families to Ellesmere Island—thousands of kilometers from home. It wasn’t the first or last time that Inuit were used to assert Arctic sovereignty.",The People Used as Pawns in Canada’s Claim to the Arctic,76.4189856,-82.9016082,Canada,Nunavut,"2,700 words, about 14 minutes",2022-03-22T00:05:15,https://hakaimagazine.com/features/the-people-used-as-pawns-in-canadas-claim-to-the-arctic/
The Apoqnmatulti’k project brings Indigenous communities and scientists together to better understand one another and three food fisheries.,Tomcod Brings Everyone to the Table,,,,,,2022-03-15T00:05:38,https://hakaimagazine.com/features/tomcod-brings-everyone-to-the-table/
"As a commercial fisher, I’ve watched colleagues shoot at whales looting from their lines. Here’s why everyone loses when that happens.",Clever Whales and the Violent Fight for Fish on the Line,57.00030304557569,-143.99987127207433,,,"4,400 words, about 22 minutes",2022-03-08T00:05:11,https://hakaimagazine.com/features/clever-whales-and-the-violent-fight-for-fish-on-the-line/
"When oceans are starved of oxygen, it can be devastating to crabs and the fishers who rely on them. New tools could help crabbers sidestep dead zones.",Catching Crabs in a Suffocating Sea,44.637389,-124.063639,United States,Oregon,,2022-03-01T00:05:54,https://hakaimagazine.com/features/catching-crabs-in-a-suffocating-sea/
Controversy over a sea-level-rise resiliency plan for a New York City park highlights how complicated climate adaptation can be without community buy-in.,Sea Level Protection? Not in My Park,40.7189217,-73.974383,United States,New York,"2,200 words, about 11 minutes",2022-02-24T00:05:35,https://hakaimagazine.com/features/sea-level-protection-not-in-my-park/
"International officials will soon decide the fate of Mexican totoaba fish farming—and with it, possibly the last glimmer of hope for the vaquita.",Will Exporting Farmed Totoaba Fix the Big Mess Pushing the World’s Most Endangered Porpoise to Extinction?,24.787169463879255,-109.94570234243773,,,"1,800 words, about 9 minutes",2022-02-22T00:05:46,https://hakaimagazine.com/features/will-exporting-farmed-totoaba-fix-the-big-mess-pushing-the-worlds-most-endangered-porpoise-to-extinction/
"An exposed prehistoric seafloor is a hotspot for ancient whale remains, and now an international team is helping unravel their mysteries.",Whales in the Cliff Face,48.3796538,-123.8676403,Canada,British Columbia,"4,200 words, about 21 minutes",2022-02-15T00:05:23,https://hakaimagazine.com/features/whales-in-the-cliff-face/
"They’ve been robbed of eggs and guano, soaked in oil, and stung by killer bees—now a dispute about numbers could clinch their future.","As African Penguins Go Hungry, a Debate Rages in South Africa: Who Gets the Fish?",-34.426098254474105,18.3558166626071,South Africa,Western Cape,"4,200 words, about 21 minutes",2022-02-04T00:05:09,https://hakaimagazine.com/features/as-african-penguins-go-hungry-a-debate-rages-in-south-africa-who-gets-the-fish/
"If you think it’s not our fault, urine denial.",The Search for What’s Harming Florida’s Beloved Bonefish,25.8309082,-80.1596041,United States,Florida,"2,000 words, about 10 minutes",2022-02-02T00:05:40,https://hakaimagazine.com/features/the-search-for-whats-harming-floridas-beloved-bonefish/
Is there potential for seaweeds to help solve the climate crisis?,Kelp Gets on the Carbon-Credit Bandwagon,,,,,,2022-02-01T00:05:14,https://hakaimagazine.com/features/kelp-gets-on-the-carbon-credit-bandwagon/
Endangered sea turtles stranded in northern waters get rock star treatment in a human-assisted migration.,These Turtles Fly South for Winter,41.904696,-70.235368,,,"2,700 words, about 14 minutes",2022-01-25T00:05:20,https://hakaimagazine.com/features/these-turtles-fly-south-for-winter/
A beloved fish with a rich history has become hard to find—will it rise again?,"Holy Mackerel, Where’d You Go?",43.8374576,-66.11738199999999,Canada,Nova Scotia,"3,100 words, about 16 minutes",2022-01-18T00:05:09,https://hakaimagazine.com/features/holy-mackerel-whered-you-go/
"When octopuses are social, are they reaching out or simply reacting?",Can We Really Be Friends with an Octopus?,,,,,"4,200 words, about 21 minutes",2022-01-11T00:05:48,https://hakaimagazine.com/features/can-we-really-be-friends-octopus/
Our reliance on fossil fuels is harming marine ecosystems—but the platforms we use to extract oil are giving marine life new homes.,Oil Rigs Are a Refuge in a Dying Sea,,,,,"5,200 words, about 26 minutes",2022-01-04T00:05:23,https://hakaimagazine.com/features/oil-rigs-are-a-refuge-in-a-dying-sea/
"When a package begins to move on its own in Canadian airport customs, it leads authorities to an international smuggling network.",Taking Down a Turtle Trafficker,,,,,"3,500 words, about 18 minutes",2021-12-28T00:05:43,https://hakaimagazine.com/features/taking-down-a-turtle-trafficker/
Scientists are sinking carcasses to reveal how death on the surface contributes to life on the seafloor.,"Bone-Eating Worms, Super-Sized Isopods, and Other Surprises from Dumping Alligators in the Sea",29.714228270009027,-90.44542675308698,United States,Louisiana,"3,700 words, about 18 minutes",2021-12-21T00:05:34,https://hakaimagazine.com/features/bone-eating-worms-super-sized-isopods-and-other-surprises-from-dumping-alligators-in-the-sea/
"In the decade since the record-breaking use of oil dispersants in the Deepwater Horizon oil spill response, science shows they’re dangerous, potentially deadly, and rarely useful. A new court case is forcing the US EPA to reconsider their use.",A Key Tool for Cleaning Up Oil Spills Is More Hazardous Than Helpful,28.823930791202038,-88.69178020685312,,,"1,900 words, about 9 minutes",2021-12-14T00:05:52,https://hakaimagazine.com/features/a-key-tool-for-cleaning-up-oil-spills-is-more-hazardous-than-helpful/
The only reliable snowy owl breeding site in the United States has a conspicuous shortage of owls.,Alaska’s Absent Snowy Owls,71.29055559999999,-156.7886111,United States,Alaska,"2,500 words, about 12 minutes",2021-12-07T00:05:26,https://hakaimagazine.com/features/alaskas-absent-snowy-owls/
Here’s what I’ve learned being up close and personal with the debate.,My Family’s Pacific Island Home Is Grappling with Deep-Sea Mining,-21.2292371,-159.7763491,Cook Islands,,"4,200 words, about 21 minutes",2021-11-30T00:05:35,https://hakaimagazine.com/features/my-familys-pacific-island-home-is-grappling-with-deep-sea-mining/
"This season’s selections feature guessing games, solutions to plastic pollution, and some gnarly narwhals.",Fourteen New Coastal Kids’ Books to Entertain and Inspire Readers of All Ages,,,,,"2,900 words, about 15 minutes",2021-11-25T00:05:52,https://hakaimagazine.com/features/fourteen-new-coastal-kids-books-to-entertain-and-inspire-readers-of-all-ages/
"A massive port project—part of China’s Belt and Road Initiative—is more military base than port, further disenfranchising people in a region with a history of political tension and violence.","Checkpoints, Machine Guns, and Fences: This Pakistani Port Is Not for the People",25.114291,62.339427,Pakistan,Balochistan,,2021-11-23T00:05:07,https://hakaimagazine.com/features/checkpoints-machine-guns-and-fences-this-pakistani-port-is-not-for-the-people/
"Ancient cultures knew the value of their excrement. Given the current environmental emergencies, it’s time we resurrect their wisdom.",Why Shipping Shit Is a Good Idea,,,,,,2021-11-16T00:05:56,https://hakaimagazine.com/features/why-shipping-shit-is-a-good-idea/
"For generations, these hitchhikers have been recording details about their hosts and their ocean home.",What Whale Barnacles Know,,,,,"4,400 words, about 22 minutes",2021-11-09T00:05:16,https://hakaimagazine.com/features/what-whale-barnacles-know/
"An ambitious project is attempting to interpret sperm whale clicks with artificial intelligence, then talk back to them.",Are We on the Verge of Chatting with Whales?,,,,,"2,400 words, about 12 minutes",2021-10-26T00:05:03,https://hakaimagazine.com/features/are-we-on-the-verge-of-chatting-with-whales/
Canada is closing fisheries and buying back licenses. Will this latest scheme save salmon or sink fishers?,Fishery Closures and the Ghosts of Past Mistakes,51.781952478670675,-129.43529372499998,,,"2,200 words, about 11 minutes",2021-10-21T00:05:49,https://hakaimagazine.com/features/fishery-closures-and-the-ghosts-of-past-mistakes/
"In the aftermath of the Indian Ocean tsunami, a simple doll became a powerful symbol of healing in coastal India and beyond.",Stitching Hope,12.005066737309631,79.82047945896704,India,Tamil Nadu,"2,800 words, about 14 minutes",2021-10-19T00:05:40,https://hakaimagazine.com/features/stitching-hope/
"Biologists are rescuing baby sharks and skates from recently caught females, giving the unborn a chance at survival.",Raising Baby Sharks from the Dead,34.5531284,18.0480105,,,"4,100 words, about 21 minutes",2021-10-05T00:05:50,https://hakaimagazine.com/features/raising-baby-sharks-from-the-dead/
"Scientists can now borrow the bodies of one fish species to produce another—whether they should, though, is an open question.",Surrogacy Across Species,,,,,"2,300 words, about 12 minutes",2021-09-28T00:05:29,https://hakaimagazine.com/features/surrogacy-across-species/
"Open ocean cleanups won’t solve the marine plastics crisis. To really make a difference, here’s what we should do instead.",Scooping Plastic Out of the Ocean Is a Losing Game,,,,,"2,900 words, about 15 minutes",2021-09-21T00:05:45,https://hakaimagazine.com/features/scooping-plastic-out-of-the-ocean-is-a-losing-game/
Scientists may have cracked an essential secret of shorebirds’ marathon migrations.,Flying by the Fat of the Sea,,,,,"5,300 words, about 26 minutes",2021-09-14T00:05:40,https://hakaimagazine.com/features/flying-by-the-fat-of-the-sea/
"These coastal ecosystems are carbon sinks and coastline protectors, and we know how to restore them. Why have we been doing it the wrong way?",Mangrove Restoration Frustration,,,,,"2,500 words, about 12 minutes",2021-09-07T00:05:04,https://hakaimagazine.com/features/mangrove-restoration-frustration/
A species of marine bacteria shows promise for curing a nasty brain cancer.,A Cancer-Quashing Microbe Emerges from the Deep,33.49374527177138,-119.91657435815729,United States,,"4,100 words, about 21 minutes",2021-08-31T00:05:00,https://hakaimagazine.com/features/a-cancer-quashing-microbe-emerges-from-the-deep/
"The odd, enduring appeal of a scarce commodity few people use and no one really needs.",Why We Can’t Shake Ambergris,,,,,"3,300 words, about 16 minutes",2021-08-17T00:05:06,https://hakaimagazine.com/features/why-we-cant-shake-ambergris/
"Fish traps have a long history around the world, and a vast network in a Vancouver Island estuary reveals generations of ecological wisdom.",The Ingenious Ancient Technology Concealed in the Shallows,49.66786130174063,-124.96036657749023,Canada,British Columbia,"3,500 words, about 18 minutes",2021-08-03T00:05:44,https://hakaimagazine.com/features/the-ingenious-ancient-technology-concealed-in-the-shallows/
How dams on the Skagit River impact the survival of salmon and the whales that eat them.,Seattle’s River of the Damned,48.69790460000001,-121.2084568,United States,Washington,"1,400 words, about 7 minutes",2021-07-27T00:05:00,https://hakaimagazine.com/features/seattles-river-of-the-damned/
"As aquariums end captive-whale programs, advocates seek to build ocean-based retirement homes for the animals—but finding the right host community is a feat.",The Hard Sell of Whale Sanctuaries,45.10347112961053,-61.84217493960055,Canada,Nova Scotia,"4,300 words, about 22 minutes",2021-07-20T00:05:48,https://hakaimagazine.com/features/the-hard-sell-of-whale-sanctuaries/
Locals near one of India’s coal-importing ports feel the effects of coal dust and are bracing for an even unhealthier future.,"In Goa, the Water Runs Black",15.409616786832528,73.79914461084155,India,Goa,"2,200 words, about 11 minutes",2021-07-13T00:05:06,https://hakaimagazine.com/features/in-goa-the-water-runs-black/
"From board books featuring Indigenous art to picture books highlighting solutions to the plastic problem, this season’s selections teach children about caring for the environment and each other.",“Your Heart Never Forgets the Story”: 12 New Coastal Kids’ Books to Remember,,,,,,2021-07-08T00:05:16,https://hakaimagazine.com/features/your-heart-never-forgets-the-story-12-new-coastal-kids-books-to-remember/
Will different salmon species adapt before the climate votes them off the island?,Survivor: Salmon Edition,,,,,"4,600 words, about 23 minutes",2021-07-06T00:05:47,https://hakaimagazine.com/features/survivor-salmon-edition/
"The saltmarsh sparrow survives the rattle and roar of one of North America’s most populated areas, but its greatest challenge comes from the sea.","The City, the Sparrow, and the Tempestuous Sea",40.6546138,-73.7570786,United States,New York,"3,800 words, about 19 minutes",2021-06-24T00:05:34,https://hakaimagazine.com/features/the-city-the-sparrow-and-the-tempestuous-sea/
"The white tern—Manu-o-Kū—has excited ornithologists, its population growing within the busiest of Hawai‘i’s urban landscapes.",Honolulu: A Seabird’s Surprising Five-Star Destination,21.292835940393893,-157.86533630514583,United States,Hawaii,"3,200 words, about 16 minutes",2021-06-23T00:05:54,https://hakaimagazine.com/features/honolulu-a-seabirds-surprising-five-star-destination/
"Your obnoxious neighbor or just a misunderstood, displaced seabird?",The Gull Next Door,,,,,"3,300 words, about 17 minutes",2021-06-22T00:05:27,https://hakaimagazine.com/features/the-gull-next-door/
"Armed with traditional knowledge and modern science, a small team hunts for the sweet spot that could save oysters from a parasite that has decimated populations in Cape Breton and beyond.",Freeing Oysters from a Parasite’s Hold,45.861112794432735,-60.79352848235514,Canada,Nova Scotia,"1,900 words, about 10 minutes",2021-06-15T00:05:32,https://hakaimagazine.com/features/freeing-oysters-from-a-parasites-hold/
A lyrical meditation on our most insidious creation.,The Haunting Nature of Plastics,,,,,"5,000 words, about 25 minutes",2021-06-08T00:05:01,https://hakaimagazine.com/features/the-haunting-nature-of-plastics/
A drama 150 years in the making is playing out as logging companies and police clash with First Nations and protesters over one of British Columbia’s last remaining stands of unprotected old-growth forest.,Three Days in the Theater of Old-Growth Logging and Protest,48.62444239747703,-124.34835469711972,Canada,British Columbia,"6,100 words, about 31 minutes",2021-06-01T16:04:27,https://hakaimagazine.com/features/three-days-in-the-theater-of-old-growth-logging-and-protest/
"Invasive species are sneaking around the world, nestled in the seaweed used to ship bait worms. An easy solution exists, but the industry is resisting change.",Hitchhiking with Bloodworms,,,,,"2,000 words, about 10 minutes",2021-05-18T00:05:27,https://hakaimagazine.com/features/hitchhiking-with-bloodworms/
"The location of this small island nation, along with its people and economy, played an unexpected and crucial role in the outcome of the Second World War.",That Time Hitler’s Girlfriend Visited Iceland and the British Invaded,64.146582,-21.9426354,Iceland,,"4,500 words, about 22 minutes",2021-05-11T00:05:19,https://hakaimagazine.com/features/that-time-hitlers-girlfriend-visited-iceland-and-the-british-invaded/
"On this French Polynesian island dramatically scarred from mining, locals grapple with whether a new mine will heal or harm the landscape.",Making Amends with Makatea,-15.8452689,-148.251958,French Polynesia,The Tuamotu and Gambier Islands,"3,100 words, about 15 minutes",2021-05-04T00:05:08,https://hakaimagazine.com/features/making-amends-with-makatea/
"The salmonberry plant has nourished and healed Indigenous communities of the Pacific Northwest coast for countless generations, but its significance goes far beyond its value as food.","Thriving Together: Salmon, Berries, and People",52.16107500769757,-128.14180274970704,Canada,British Columbia,"2,000 words, about 10 minutes",2021-04-27T00:05:10,https://hakaimagazine.com/features/thriving-together-salmon-berries-and-people/
"When people come to the aid of stranded fish, are the salvaged truly saved?",What To Do with Fish When the River Runs Dry,,,,,"5,200 words, about 26 minutes",2021-04-20T00:05:14,https://hakaimagazine.com/features/what-to-do-with-fish-when-the-river-runs-dry/
